Jméno|Disciplína|Stát|Pohlaví|Datum narození|Vìk|Výška|Váha|Místo narození|Místo pobytu|Pøezdívka|Trenér|Ruka|Zranìní|Pøedchozí|Povolání|Klub|Pozice|Vzor|Jazyky|Hobbies|Ambice|Dùvody|Motto
Wolfgang LINGER|Luge|-|Male|4 November 1982|31|1.77|75|-|-||Rene Friedl [national] ||He crashed at a test event in Turin, Italy, in 2005 and broke his ankle and fibula. He had pins inserted in his leg and went on to win gold with brother Andreas at the 2006 Olympic Winter Games. |Vancouver 2010, Torino 2006, Salt Lake City 2002|Serves in the Army|RV Halltal Absam, Austria|Back ||German|Mountain biking, skiing, hiking, golf. |||
Yulia LIPNITSKAYA|Figure Skating|Russian Fed.|Female|5 June 1998|15|1.58|-|Russian Fed., YEKATERINBURG, SVERDLOVSK REGION|Russian Fed., MOSCOW||Eteri Tutberidze, from 2009; Sergei Dudakov, from 2011 ||In 2012 she missed the Grand Prix Final in Sochi, Russia and the Russian national championships, after falling in training and suffering a concussion. ||Student|Sambo-70, Moscow, RUS|||Russian|Horse riding, drawing, knitting, listening to music. |||
Crispin LIPSCOMB|Snowboard|Canada|Male|7 August 1979|34|1.75|65|Canada, EDMONTON|Canada, Whistler, BC||Dan Raymond [national] ||An ankle injury disrupted his start to the 2009/10 season. |Torino 2006|Athlete, Coach||Regular ||English|Snowmobiling, skateboarding, woodworking. |||
Marina LISOGOR|Cross-Country|Ukraine|Female|11 May 1983|30|1.75|64|-|-||Vyacheslav Lisogor [husband] |||Torino 2006||||||Reading, listening to music, knitting. |||
Jiayu LIU|Snowboard|China|Female|17 September 1992|21|1.72|65|China, HEILONGJIANG|-|The Rolling Kid |||She injured her shoulder at the 2010 Olympic Winter Games in Vancouver. |Vancouver 2010|Athlete|Heilongjiang Province Team, Harbin, CHN|||Mandarin|Reading, listening to music. |||
Qiuhong LIU|Short Track|China|Female|26 November 1988|25|1.63|56|China, HEILONGJIANG|-|Iron Blood |Li Yan [national] ||She suffered a leg injury while training in 2010. She did not participate at the 2010 Olympic Winter Games in Vancouver due to the injury. ||Athlete||||Mandarin|Reading, watching tennis, playing golf. |||
Rui LIU|Curling|China|Male|13 March 1982|31|1.82|-|China, HEILONGJIANG|-||Lorne Hamblin [national] |||Vancouver 2010|Athlete||Skip ||Mandarin||||
Sandor LIU SHAOLIN|Short Track|Hungary|Male|20 November 1995|18|1.81|76|Hungary, BUDAPEST|-||Zhang Jing [national] ||||Athlete, Student||||Hungarian||||
Yin LIU|Curling|China|Female|19 August 1981|32|1.65|-|China, HEILONGJIANG|-||Marcel Rocque [national] |||Vancouver 2010|Student||Third ||Mandarin|Music, cooking. |||
Zhongqing LIU|Freestyle Skiing|China|Male|10 November 1985|28|1.75|72|China, HEILONGJIANG|-|Daqing Flying Man ||||Vancouver 2010, Torino 2006|Athlete||||Mandarin|Watching the news, reading novels. |||
Toni LIVERS|Cross-Country|Switzerland|Male|2 June 1983|30|1.82|74|-|-|||||Vancouver 2010, Torino 2006|Athlete, Customs Officer||||French, German, Italian|Cooking, baking, kayaking, cycling, skiing, reading, computers. |||
Derek LIVINGSTON|Snowboard|Canada|Male|5 January 1991|23|1.72|68|Canada, SCARBOROUGH|-|D-rock |Dan Raymond [national] ||During his career he has broken a bone in his right foot, a bone in his wrist, his collarbone twice and sustained a broken nose. ||Athlete||Goofy ||English|Skateboarding, surfing, spending time with friends, trampolining, camping, golf, watching movies. |||
Yulia LIVINSKAYA|Freestyle Skiing|Russian Fed.|Female|31 July 1990|23|1.63|53|-|-||Mario Reyfettseder [national] |||Vancouver 2010|Athlete|||||Going to the beach, spending time with family. |||
Julien LIZEROUX|Alpine Skiing|France|Male|5 September 1979|34|1.73|80|France, MOUTIERS|-||Fred Perrin ||A persistent knee injury forced him to stop competing in January 2011. He began training again in May 2013. |Vancouver 2010|Athlete, Customs Officer||||English, French|Golf, music, cinema, bowling. |||
Anthony LOBELLO|Short Track|Italy|Male|15 August 1984|29|1.81|76|United States, TALLAHASSE|-||Eric Bedard [national], CAN; Kenan Gouadec [national], CAN |||Torino 2006|Athlete|CP Pine-Pulinet, Italy|||English, Italian||||
Dmitry LOBKOV|Speed Skating|Russian Fed.|Male|2 February 1981|33|1.78|81|-|Russian Fed., NIZHNY NOVGOROD||Konstantin Poltavets [national]; Andrey Savelyev [national]; Alexander Mishin [personal] ||He suffered back and foot injuries in the lead-up to the 2010 Olympic Winter Games in Vancouver. |Vancouver 2010, Torino 2006, Salt Lake City 2002|||||Russian|Listening to music, playing the guitar. |||
Victor LOBO ESCOLAR|Biathlon|Spain|Male|19 November 1979|34|1.70|65|Spain, ZARAGOZA|-||||||Manager||||English, Spanish||||
Yekaterina LOBYSHEVA|Speed Skating|Russian Fed.|Female|13 March 1985|28|1.78|69|-|Russian Fed., KOLOMNA||Vladimir Rubin, RUS; Maurizio Marchetto [national], ITA ||Her preparation for the 2010 Olympic Winter Games in Vancouver was hampered due to various bouts of illness that forced her to miss several World Cup events. |Vancouver 2010, Torino 2006|||||English, Russian|Travelling, bowling, photography. |||
Felix LOCH|Luge|Germany|Male|24 July 1989|24|1.90|90|Germany, SONNEBERG|-||Norbert Loch [national, father] ||He crashed in training for the 2013 World Cup event in Lake Placid, NY, United States and suffered a hand injury [a capsule injury in the finger]. He was forced to withdraw from the competition. |Vancouver 2010|Athlete, Police Officer|RC Berchtesgaden , Germany|||German|Cycling, playing golf, windsurfing, climbing, spending time with friends. |||
Deanna LOCKETT|Short Track|Australia|Female|13 November 1995|18|1.63|48|Australia, SUNNYBANK|-|D |Ann Zhang [national] ||||Athlete, Student||||English|Watching movies, spending time with friends and family. |||
Todd LODWICK|Nordic Combined|United States|Male|21 November 1976|37|1.80|68|United States, STEAMBOAT SPRINGS|-|Buckly, Little Cheese |Dave Jarrett [national] ||He injured his right shoulder during a provisional competition round at the World Cup event in Chaux Neuve, France, in January 2014. He returned to the United States for treatment. |Vancouver 2010, Torino 2006, Salt Lake City 2002, Nagano 1998, Lillehammer 1994|Athlete, Public Speaker, Real Estate Agent||||English|Golf, hunting, fishing. |||
Mona LOESETH|Alpine Skiing|Norway|Female|11 April 1991|22|-|-|Norway, ALESUND|-||Stefan Abplanalp [national] ||In April 2010 she broke her right leg in Hemsedal, Norway. The injury required surgery to insert seven screws in the bone. She was able to ski again in October 2010, but did not return to competitive action until January 2011. However, after seven races she broke the leg again, in Lelex, France. She needed more surgery and did not return to competitive action until February 2012. |Vancouver 2010|Athlete||||English, Norwegian|Hanging out with friends, football, shopping, golf, squash, walking tours in the summer. |||
Nina LOESETH|Alpine Skiing|Norway|Female|27 February 1989|24|-|-|Norway, ALESUND|-||||Her 2010/11 and 2011/12 seasons were interrupted by leg injuries. ||Athlete||||English, Norwegian|Meeting friends, cooking. |||
Devin LOGAN|Freestyle Skiing|United States|Female|17 February 1993|20|1.78|82|United States, OCEANSIDE|-|D-lo |||She seriously injured her knee in New Zealand in August 2012, which prematurely ended her 2012/13 season. "I went way too big on a cork seven. I just kept rotating and blew my knee out pretty severely, anterior cruciate ligament [ACL], meniscus, microfractures, the works. The doctor said it was the worst knee he'd seen in a while. The whole season is out, but better this year than next. I'm trying to take it slow so I can come back to my fullest before the 2014 Olympic Winter Games in Sochi." ||Athlete||||English|Spending time with friends, playing soccer, being outdoors, trying new adventures. |||
Eva LOGAR|Ski Jumping|Slovenia|Female|8 March 1991|22|1.72|57|Slovenia, LJUBLJANA|-||Joze Bercic [national]; Blaz Dim [club] ||She tore her anterior cruciate ligaments [knee] during training in September 2011 and required surgery. The injury forced her to miss the remainder of the 2011/12 season. |||SD Zabrdje, Slovenia|||English, Slovene|Computers, inline skating, volleyball, handball. |||
Alexander LOGINOV|Biathlon|Russian Fed.|Male|31 January 1992|22|1.77|71|Russian Fed., SARATOV|Russian Fed., SARATOV|Sasha |Nikolay Lopukhov [national], RUS, from 2013; Ekaterina Khaliullina [personal], RUS, from 2005; Alexander Kasperovich, RUS, from 2009 ||||||||Russian|Fishing, watching movies, playing computer games, playing tennis. |||
Francesca LOLLOBRIGIDA|Speed Skating|Italy|Female|7 February 1991|22|1.69|62|Italy, FRASCATI|-|Lollo |||||Athlete||||||||
Jhonatan LONGHI|Alpine Skiing|Brazil|Male|2 February 1988|26|1.76|78|Brazil, SAO PAULO|-|||||Vancouver 2010|||||English, Italian, Portuguese, Spanish||||
Arthur LONGO|Snowboard|France|Male|21 July 1988|25|1.73|66|France, LA TRONCHE|France, Les 2 Alpes||Valerie Bourdier |||Vancouver 2010||CS Les Deux-Alpes, France|Regular ||English, French|Surfing the internet, sports, cinema, books. |||
Emma LONSDALE|Freestyle Skiing|Great Britain|Female|24 April 1984|29|1.75|69|Great Britain, KEIGHLEY|-|Em |Jamie Matthew; Pat Sharples [national], GBR ||||Athlete, Lifeguard|Kendal Snowsports Club, England|||English||||
Havard LORENTZEN|Speed Skating|Norway|Male|2 October 1992|21|-|-|Norway, BERGEN|-||Sondre Skarlia; Jarle Pedersen [national], NOR ||||Athlete||||English, Norwegian, Swedish|Football, watching television, meeting friends. |||
Vojtech LOUDIN|Short Track|Czech Republic|Male|11 November 1990|23|1.85|79|Czech Republic, MLADA BOLESLAV|-||Jarmil Hruza ||||||||Czech, English|Sports. |||
Michelle LOWENHIELM|Ice Hockey|Sweden|Female|22 March 1995|18|1.72|67|Sweden, SOLLENTUNA|-||||||||||||||
Sanna LUEDI|Freestyle Skiing|Switzerland|Female|17 February 1986|27|1.73|65|Switzerland, HEIMISWIL BE|-||Ralph Pfaffli [national], SUI; Alois Paolella [national], SUI ||In January 2014 she fractured her fibular after falling during the World Cup event in Val Thorens, France. She required surgery but hoped she would only miss two weeks training, and be able to compete at the 2014 Olympic Winter Games in Sochi. |Vancouver 2010|Athlete||||English, German|Dancing, eating, surfing. |||
Pan To Barton LUI|Short Track|Hong Kong, CHN|Male|8 April 1993|20|1.73|66|China, HONG KONG|-||Lu Shuo ||||Athlete, Student||||Cantonese, English, Mandarin||||
Stefan LUITZ|Alpine Skiing|Germany|Male|26 March 1992|21|1.85|84|Germany, KEMPTEN (ALLGAU)|-||Charly Waibel [national] ||He tore his cruciate ligament in 2013. ||||||German||||
Barbora LUKACOVA|Alpine Skiing|Slovakia|Female|28 April 1990|23|1.78|75|Slovakia, LIPTOVSKY MIKULAS|-|Baja |Bohumir Zeman from 2013 ||She sprained her ankle whilst training in the Netherlands in August 2012. Then in a race at Hintertux, Austria on 01 October 2012 she ruptured her right shoulder attachment and required surgery. She returned to competition in February 2013. ||Student||||English, German|Tennis, reading books, diving, spending time with friends. |||
Robert LUKAS|Ice Hockey|Austria|Male|29 August 1978|35|1.77|84|-|-||||||||||||||
Jesse LUMSDEN|Bobsleigh|Canada|Male|3 August 1982|31|1.86|105|Canada, EDMONTON|-||Tom De La Hunty [national] ||He tore his knee ligament while playing American football for the Calgary Stampeders in 2010. |Vancouver 2010|Athlete, Public Speaker||Brakeperson ||English|Spending time outdoors, motorcycles. |||
Maren LUNDBY|Ski Jumping|Norway|Female|7 September 1994|19|1.71|-|Norway, GJOVIK|-||Christian Meyer [national] ||||Athlete|Kolbukameratene IF, Norway|||English, Norwegian|Football, sport in general. |||
Henrik LUNDQVIST|Ice Hockey|Sweden|Male|2 March 1982|31|1.85|87|Sweden, ARE|-||||||||||||||
Roberto LUONGO|Ice Hockey|Canada|Male|4 April 1979|34|1.90|98|Canada, MONTREAL|-||||||||||||||
Helvijs LUSIS|Bobsleigh|Latvia|Male|14 January 1987|27|1.86|97|Latvia, AIZPUTE|-||Sandis Prusis [national] ||||Athlete||Push athlete ||Latvian|Music. |||
Jessica LUTZ|Ice Hockey|Switzerland|Female|24 May 1989|24|1.74|65|Switzerland, THAL SG|-||||||||||||||
Stefi LUXTON|Snowboard|New Zealand|Female|29 September 1991|22|1.67|53|New Zealand, AUCKLAND|-||Jody Blatchley [national] ||||Athlete||Goofy ||English|Skateboarding, surfing, cooking, bike riding, tennis and hiking. |||
Conor LYNE|Alpine Skiing|Ireland|Male|24 February 1993|20|1.77|77|Great Britain, READING|-||||||Student||||English||||
Fredrik LYSTAD JACOBSEN|Ice Hockey|Norway|Male|15 February 1990|23|1.80|86|-|-||||||||||||||
Cheryl MAAS|Snowboard|Netherlands|Female|28 September 1984|29|1.74|70|Netherlands, UDEN|-|Cherally |Milan Verhoop [national] ||In December 2012 she crashed during training, which resulted in a torn anterior cruciate ligament [ACL] and damaged meniscus in her right knee. She was able to stand on a snowboard again after more than three months of rehabilitation. In August 2013 she returned to international competition. |Torino 2006|Athlete||Goofy ||Dutch, English|Cars, surfing, playing golf. |||
Olli MAATTA|Ice Hockey|Finland|Male|22 August 1994|19|1.87|89|Finland, JYVASKYLA|-||||||||||||||
Benjamin MACE|Speed Skating|France|Male|16 May 1989|24|1.83|80|France, BORDEAUX|-|Benj |Jeremy Wotherspoon ||He has dislocated his shoulder while skating. |Vancouver 2010|Athlete||||English, French|Cycling. |||
Tatsuki MACHIDA|Figure Skating|Japan|Male|9 March 1990|23|1.62|-|Japan, KAWASAKI-CITY, KANAGAWA|-|Philosophy Prince |Azumi Hata, JPN; Yoshinori Onishi, JPN |||||Kansai University SC, Osaka, JPN|||Japanese|Reading, listening music, fashion. |||
James MACHON|Freestyle Skiing|Great Britain|Male|23 November 1990|23|1.76|75|Great Britain, SHEFFIELD|-|Mach |Jamie Matthew; Pat Sharples [national], GBR ||In October 2012 he tore the anterior cruciate ligament [ACL] in his knee after crashing in training in Austria. Following an operation, his surgical wound became infected and he required further surgery. He was out of action for eight months in total. ||Athlete||||English||||
Paulina MACIUSZEK|Cross-Country|Poland|Female|2 September 1985|28|1.70|56|-|-||Ivan Hudac |||Vancouver 2010|Athlete||||Polish|Hiking, travelling, books, fashion. |||
Bogdan MACOVEI|Luge|Rep. of Moldova|Male|28 January 1983|31|1.72|70|Romania, SUCEAVA|-||Constantin-Liviu Cepoi |||Vancouver 2010, Torino 2006|Sports Teacher||||English, German||||
Jarkko MAEAETTAE|Ski Jumping|Finland|Male|28 December 1994|19|1.69|57|Finland, IISALMI|-||Pekka Niemela [national], Kari Patari [personal] ||||Athlete, Student|Kainuun Hiihtoseura, Finland|||English, Finnish|Skateboarding, floorball. |||
Cecilia MAFFEI|Short Track|Italy|Female|19 November 1984|29|1.65|60|Italy, TIONE DI TRENTO|-||Eric Bedard [national], CAN, from 2010; Kenan Gouadec [national], CAN, from 2010 |||Vancouver 2010|Armed Forces||||English, Italian||||
Jiri MAGAL|Cross-Country|Czech Republic|Male|11 April 1977|36|1.74|65|-|-|Magi |Miroslav Petrasek [national] |||Vancouver 2010, Torino 2006, Salt Lake City 2002, Nagano 1998|Athlete||||Czech, English|Watching movies, fishing, bowling, alpine skiing, history, travelling. |||
Stephanie MAGIROS|Snowboard|Australia|Female|5 May 1991|22|1.50|50|Australia, PADDINGTON|-|Munchkin, Steph |Ben Boyd ||In 2013 she had an operation to remove her appendix. It took her eight weeks to be fully fit again. ||Athlete|New South Wales Institute of Sport [NSWIS]/Ski and Snowboard Club Vail|Goofy ||English|Gymnastics, wakeboarding, skateboarding, jet skiing. |||
Kai MAHLER|Freestyle Skiing|Switzerland|Male|11 September 1995|18|1.70|70|Switzerland, FISCHENTHAL ZH|-||||In January 2013 he tore ligaments in his left knee while competing at the Winter X-Games in Aspen, CO, United States. He returned to top level skiing in September 2013. ||||||English, German|Skating, surfing. |||
Benjamin MAIER|Bobsleigh|Austria|Male|19 April 1994|19|1.82|93|Austria, HALL|-||Manfred Maier [father, national] ||||Athlete, Serves in the Army|BSC Stubai, Austria|Pilot ||German|Football, volleyball. |||
Raphael MAIER|Skeleton|Austria|Male|9 August 1992|21|1.73|70|Austria, INNSBRUCK|-|Raph |Martin Rettl [national] ||||Athlete, Serves in the Army||||English, German|Football, listening to music. |||
Alexander MAJOROV|Figure Skating|Sweden|Male|19 July 1991|22|1.67|-|Russian Fed., LENINGRAD|-|Sasha |Alexander Majorov Sr [father]; Irina Majorova [mother] ||He sat out most of the 2007/08 season because of a back injury. ||Athlete, Student|Lulea KK, Sweden|||English, Persian, Russian, Swedish|Watching TV, listening to music, walking his dog, computers, longboard skating. |||
Natalya MAKAGONOVA|Freestyle Skiing|Russian Fed.|Female|15 February 1992|21|1.75|58|Russian Fed., SOCHI, KRASNODAR REGION|-|Natasha |Vadim Kruglov ||She broke her ankle in August 2013 while training in Canada. ||Athlete||||||||
Morena MAKAR|Snowboard|Croatia|Female|22 January 1985|29|1.58|49|Croatia, ZAGREB|Croatia, Zagreb|Tetica, Dete |Pavel Pisarovic [national] ||She has broken her hand during her career. ||Athlete, Business Owner|Snowboard Club Mladost, Zagreb, CRO|Goofy ||Croatian, English, German, Italian|Sailing, squash. |||
Kaisa MAKARAINEN|Biathlon|Finland|Female|11 January 1983|31|1.71|57|-|-|Kappa, Kaeppa, Kappaleena |Jarmo Punkkinen; Per-Ole Lindell ||She underwent a knee operation in 2008. |Vancouver 2010|Athlete, Student||||English, Finnish|Watching sport, growing plants, maintaining her website, reading. |||
Kaisa MAKARAINEN|Cross-Country|Finland|Female|11 January 1983|31|1.71|57|-|-|Kappa, Kaeppa, Kappaleena |Jarmo Punkkinen; Per-Ole Lindell ||She underwent a knee operation in 2008. |Vancouver 2010|Athlete, Student||||English, Finnish|Watching sport, growing plants, maintaining her website, reading. |||
Vladimir MAKHNUTIN|Luge|Russian Fed.|Male|28 October 1987|26|1.75|78|-|Russian Fed., CHUSOVOY||Igor Klemyatenko, |||Vancouver 2010||Ogonek, Chusovoy, RUS|||Russian|Sports. |||
Lucas MAKOWSKY|Speed Skating|Canada|Male|30 May 1987|26|1.84|78|Canada, REGINA|-|Luc |Xiuli Wang, CHN; Mark Wild, CAN |||Vancouver 2010|Athlete, Student||||English, French, Ukrainian|Playing sport, spending time with family, wood working, building things, relaxing, being outdoors, reading. |||
Mikhail MAKSIMOCHKIN|Ski Jumping|Russian Fed.|Male|29 August 1993|20|1.79|68|Russian Fed., NIZHNY NOVGOROD|-||Gennady Chizhov |||||Youth Sports School of Olympic Reserve, Nizhny Novgorod, RUS|||Russian|Motorsport, fixing cars. |||
